observation_date,FMPNSA
1995-10-01,3.0236432328820202
1995-11-01,3.1001329421996999
1995-12-01,2.1032236516475602
1996-01-01,2.6915403082966800
1996-02-01,2.7185603976249602
1996-03-01,2.5969699025154100
1996-04-01,2.4157114326953799
1996-05-01,3.0103795230388601
1996-06-01,3.0373029410839001
1996-07-01,3.0359808355569800
1996-08-01,3.2649729400873100
1996-09-01,3.1704273074865301
1996-10-01,2.6987472549080800
1996-11-01,2.8613025322556500
1996-12-01,2.0419498905539499
1997-01-01,2.8479779139161101
1997-02-01,2.6169441640377000
1997-03-01,2.6389257982373202
1997-04-01,2.3022428154945302
1997-05-01,2.8055489063262899
1997-06-01,2.9416069388389499
1997-07-01,3.0246902257203998
1997-08-01,3.2087791711092004
1997-09-01,3.2775584608316399
1997-10-01,3.1683117151260300
1997-11-01,2.7227930724620801
1997-12-01,2.3740120232105202
1998-01-01,2.6164768263697602
1998-02-01,2.6376917958259498
1998-03-01,2.5377439334988501
1998-04-01,2.8080973774194700
1998-05-01,2.5603078305721199
1998-06-01,2.9497144743800101
1998-07-01,3.2798424363136300
1998-08-01,2.9620721936225900
1998-09-01,3.0581682920455902
1998-10-01,3.0083995312452299
1998-11-01,2.4535898119211201
1998-12-01,2.3094473406672398
1999-01-01,2.5406979024410199
1999-02-01,2.5539265945553700
1999-03-01,2.4635497480630799
1999-04-01,2.7677746489644002
1999-05-01,2.5029223412275301
1999-06-01,2.8889359906315799
1999-07-01,3.1735572963953000
1999-08-01,2.8488717973232198
1999-09-01,3.6559995263814895
1999-10-01,2.7753047645092002
1999-11-01,2.6261502876877700
1999-12-01,2.6228012517094603
2000-01-01,2.7685435488820000
2000-02-01,2.6870923116803098
2000-03-01,2.8194705024361602
2000-04-01,2.5026179850101400
2000-05-01,2.7975350618362400
2000-06-01,3.3936966210603701
2000-07-01,3.0205031856894502
2000-08-01,2.9017277061939200
2000-09-01,3.4973621368408203
2000-10-01,2.8626581653952599
2000-11-01,2.7699319645762399
2000-12-01,2.0334530621767000
2001-01-01,2.7805274352431302
2001-02-01,2.9341546818614002
2001-03-01,2.4668060243129699
2001-04-01,2.3139756172895400
2001-05-01,2.2962518036365500
2001-06-01,3.0287856236100201
2001-07-01,2.9437774792313500
2001-08-01,3.1759612262249002
2001-09-01,2.9327634721994400
2001-10-01,2.5239707902073798
2001-11-01,2.5213142856955502
2001-12-01,1.9374113529920505
2002-01-01,2.3348581045865999
2002-02-01,2.5463558733463199
2002-03-01,2.2608647122979102
2002-04-01,2.0602257922291702
2002-05-01,2.5811281055211999
2002-06-01,2.7391089126467700
2002-07-01,2.7150105684995598
2002-08-01,2.7250055223703300
2002-09-01,2.7447868138551703
2002-10-01,2.5152670219540600
2002-11-01,2.3790825158357598
2002-12-01,1.7249457538127899
2003-01-01,2.4347491562366401
2003-02-01,2.1387595683336200
2003-03-01,2.1236306056380201
2003-04-01,1.9085995852947200
2003-05-01,2.3418411612510601
2003-06-01,2.4266006425022999
2003-07-01,2.4518648162484098
2003-08-01,2.5256499648094102
2003-09-01,2.6736427098512601
2003-10-01,2.3503165692090899
2003-11-01,1.9786473363637900
2003-12-01,1.8754858523607201
2004-01-01,2.2770518437027900
2004-02-01,2.1301330998539902
2004-03-01,2.1083759143948502
2004-04-01,2.3367267102003102
2004-05-01,2.1845651790499598
2004-06-01,2.4359872564673402
2004-07-01,2.7404449880123098
2004-08-01,2.4976884946227003
2004-09-01,2.8196383267641001
2004-10-01,2.5681786239147097
2004-11-01,2.1785886958241401
2004-12-01,2.0519535988569202
2005-01-01,2.3666895925998599
2005-02-01,2.4091128259897201
2005-03-01,2.2675741463899599
2005-04-01,2.2654918953776302
2005-05-01,2.1334195509552902
2005-06-01,2.7795905247330599
2005-07-01,2.4194382131099701
2005-08-01,2.6039808988571100
2005-09-01,2.9896598309278399
2005-10-01,2.4495027959346700
2005-11-01,2.3744786158203999
2005-12-01,1.9597291946411104
2006-01-01,2.2587426006793900
2006-02-01,2.3752897977828900
2006-03-01,2.2788338363170602
2006-04-01,2.0608458667993501
2006-05-01,2.2067435085773401
2006-06-01,2.8019480407238002
2006-07-01,2.6760827749967500
2006-08-01,2.5786258280277199
2006-09-01,2.8794925659894903
2006-10-01,2.2449068725109100
2006-11-01,2.2023439407348602
2006-12-01,2.0724989473819702
2007-01-01,2.1824270486831598
2007-02-01,2.1622814238071402
2007-03-01,2.4718319997191398
2007-04-01,2.2507736459374401
2007-05-01,2.4177720770239799
2007-06-01,2.5855079293251002
2007-07-01,2.8274472802877400
2007-08-01,2.6464937254786403
2007-09-01,2.8805632144212701
2007-10-01,2.3660963401198298
2007-11-01,2.3458555340766898
2007-12-01,1.8592709675431200
2008-01-01,2.2863881662487899
2008-02-01,2.3325834423303600
2008-03-01,2.2398497909307400
2008-04-01,2.1192958578467298
2008-05-01,2.4773946031928000
2008-06-01,2.4671107530593801
2008-07-01,2.6246508583426400
2008-08-01,2.8486998751759502
2008-09-01,2.6694834232330300
2008-10-01,2.4902617558836897
2008-11-01,1.9637824967503497
2008-12-01,1.8465476110577499
2009-01-01,2.0536405965685800
2009-02-01,2.1620437502861001
2009-03-01,1.9520457834005300
2009-04-01,2.0056396722793499
2009-05-01,2.2769369184970798
2009-06-01,2.3009572178125302
2009-07-01,2.3123221471905699
2009-08-01,2.2529838606715198
2009-09-01,2.4761810898780801
2009-10-01,2.1592337638139703
2009-11-01,1.8307127058506001
2009-12-01,1.6954965889453799
2010-01-01,1.9588991999626100
2010-02-01,1.9211256876587799
2010-03-01,1.9814457744359899
