date,P_1m_change,P_4m_change,P_12m_change,V,U,U_rate,V_rate,tightness,ln_tightness
1962-07-01,0.033101621979469975,0.16572754391779299,1.0026737967914423,2014.570782649056,3819.0,5.4322778868311,2.8655952642158913,0.5275126427465452,-0.6395824466270978
1962-08-01,0.19854401058903015,0.23171135385633423,1.135604542418167,1981.5371253548046,4013.0,5.65362561812316,2.791644419428868,0.4937794979702977,-0.7056662218266769
1962-09-01,0.4623513870541718,0.5952380952381153,1.4676450967311627,1946.8750697398166,3961.0,5.566877011510407,2.736181285033402,0.4915109996818522,-0.710270959824685
1962-10-01,-0.13149243918475495,0.5627275736511006,1.3342228152101399,1914.1958212276495,3803.0,5.362606991271486,2.6992058621030917,0.503338370030936,-0.686492631207364
1962-11-01,0.0,0.5294506949040434,1.3342228152101399,1912.9541865310819,4024.0,5.677921858023733,2.699205862103091,0.4753862292572271,-0.7436276911200377
1962-12-01,0.0,0.33025099075296716,1.2329223592135952,1912.4953215345245,3907.0,5.514155869816807,2.699205862103091,0.4895048173878998,-0.7143609756138298
1963-01-01,0.19749835418039208,0.06574621959236637,1.331557922769644,2086.807077883778,4074.0,5.726253057093864,2.933133384707191,0.5122255959459446,-0.6689901339039075
1963-02-01,0.13140604467805073,0.3291639236339794,1.2288276320159497,1949.8575073405034,4238.0,5.947068563890994,2.736181285033403,0.46008907676746186,-0.7763351630991426
1963-03-01,0.09842519685039353,0.42791310072416433,1.1269472986410234,1980.671715528923,4072.0,5.701244697086373,2.773156707963713,0.4864125038135862,-0.7206982418070051
1963-04-01,-0.0983284169124965,0.3291639236339794,0.893743793445867,1948.504761441226,4055.0,5.655745707630723,2.717693573568247,0.4805190533763813,-0.7328883981292771
1963-05-01,0.09842519685039353,0.22996057818660542,0.8928571428571619,1912.3333690665922,4217.0,5.870642610535694,2.6622304391727813,0.45348194666032543,-0.7907998191271126
1963-06-01,0.32776138970829205,0.4265091863516979,1.3240648791790655,1920.0911825759283,3977.0,5.552453019853125,2.6807181506379365,0.48279888925721104,-0.7281550903885581
1963-07-01,0.2613524991832872,0.5899705014749346,1.5552614162806178,1982.1496231205022,4051.0,5.629829340152315,2.7546689964985576,0.4892988455000005,-0.7147818401829955
1963-08-01,0.19550342130987275,0.8858267716535417,1.5521796565389767,1950.923508721702,3878.0,5.402167553561976,2.7176935735682473,0.5030746541314343,-0.6870167021388944
1963-09-01,-0.09756097560975618,0.6882989183873978,0.9861932938855844,1946.9641803935813,3957.0,5.485852130152084,2.699205862103092,0.49203037159302027,-0.7092148335149773
1963-10-01,0.09765625,0.45736687357074146,1.2179065174456882,2017.8285028073803,3987.0,5.515972385550836,2.7916444194288683,0.5061019570622975,-0.6810171338217481
1963-11-01,0.09756097560975618,0.2932551319648091,1.3166556945358954,1981.4877629954897,4151.0,5.732000331409318,2.736181285033403,0.477351906286555,-0.7395013110684205
1963-12-01,0.32488628979856493,0.4227642276422694,1.6458196181698526,2081.961818484634,3975.0,5.506455366542916,2.884082975681047,0.5237639794929897,-0.6467141169459261
1964-01-01,0.19430051813471572,0.7161458333333481,1.6425755584756896,2448.220389546321,4029.0,5.568301177511194,3.383576192086794,0.6076496375145993,-0.4981568172019992
1964-02-01,-0.09696186166774368,0.5203252032520256,1.4107611548556331,2055.925759241599,3932.0,5.409793211617572,2.828619841285581,0.5228702337847403,-0.6484219646622469
1964-03-01,0.09705596894209467,0.5198180636777128,1.4093739757456536,2083.660284469301,3950.0,5.432316092033061,2.8655952642158913,0.5275089327770383,-0.6395894796008159
1964-04-01,0.03232062055591456,0.226683937823835,1.5419947506561726,2181.0163880954196,3918.0,5.347053525124874,2.976521533006823,0.5566657447920929,-0.5857903183029256
1964-05-01,0.09693053311794486,0.12928248222365823,1.5404785316289749,2184.617979150358,3764.0,5.128414742148648,2.976521533006824,0.5803979753321887,-0.5440412463789661
1964-06-01,0.09683666881858954,0.3235198964736341,1.3067624959163693,2254.8248778248662,3814.0,5.222368276919707,3.087447800724157,0.5911968741019575,-0.5256061967404095
1964-07-01,0.032247662044504466,0.25856496444731647,1.0752688172043001,2321.5396334215147,3608.0,4.9419918637938824,3.1798863580499335,0.6434422487310185,-0.44092300153507136
1964-08-01,0.09671179883945502,0.3231017770597866,0.9756097560975618,2284.5157726716734,3655.0,4.9987691129407255,3.124423223654467,0.6250385150948491,-0.4699420069926674
1964-09-01,0.09661835748790981,0.32278889606196515,1.171875,2316.989068081984,3712.0,5.064811024696411,3.161398646584778,0.6241888653238103,-0.4713022876195083
1964-10-01,0.12870012870014325,0.3547242824895269,1.2032520325203189,2317.5581198383693,3726.0,5.082664920608938,3.161398646584778,0.621996274782171,-0.47482117535707946
1964-11-01,0.2892030848329119,0.6125080593165633,1.3970110461338558,2425.2538451441524,3551.0,4.845400212864667,3.3093003372324215,0.6829777091366241,-0.3812930566399464
1964-12-01,0.1281640499839698,0.6441223832528209,1.1981865284974136,2417.5954963086415,3651.0,4.969713468998843,3.2908126268408653,0.6621735130946703,-0.41222765301586417
1965-01-01,0.09600000000000719,0.6435006435006496,1.098901098901095,3363.8413050808617,3572.0,4.855305903301662,4.572362414985744,0.9417248894403308,-0.06004209648691372
1965-02-01,0.0,0.5141388174807249,1.1970236169524417,2553.3857025243074,3730.0,5.050299903868286,3.457202028953664,0.6845538076472674,-0.378988028654649
1965-03-01,0.09590792838873874,0.3204101249599356,1.1958629605688387,2583.9092838936804,3510.0,4.746514489715885,3.4941774518839743,0.7361564911378007,-0.30631255902597054
1965-04-01,0.2235707441711865,0.41599999999999415,1.3893376413570246,2621.1041559171476,3595.0,4.84318585978337,3.5311528748142855,0.729097122647329,-0.31594832862201905
1965-05-01,0.31867431485022024,0.6393861892583175,1.6139444803098701,2725.877713497238,3432.0,4.608814761099024,3.6605668539967744,0.7942534130236707,-0.23035270867627844
1965-06-01,0.41296060991105055,1.054987212276215,1.9348597226700903,2751.4151591069826,3387.0,4.551685212062571,3.697542276927085,0.8123457806634138,-0.20782919120840138
1965-07-01,-0.0949066751028238,0.8623442989460273,1.8052869116698789,2764.319581653458,3301.0,4.4154037532938295,3.697542276927085,0.8374188372170427,-0.1774309307646913
1965-08-01,-0.09499683343887622,0.5417463352453744,1.6103059581320522,2855.5216800587195,3254.0,4.360994960866303,3.826956256109574,0.8775420037058143,-0.1306304573167134
1965-09-01,0.22187004754359307,0.4447268106734459,1.737451737451745,2961.3486682929156,3216.0,4.316662639929129,3.9748579478308175,0.9208173719816279,-0.08249355556908
1965-10-01,0.0948766603415585,0.12654223347041693,1.7030848329048665,3057.7191912319254,3143.0,4.19973810096475,4.085784215548151,0.9728664305542238,-0.02750848211427126
1965-11-01,0.3159557661927437,0.5383153894870318,1.7302146747837144,3263.467822069414,3073.0,4.108453547602177,4.363099886451883,1.0619810680343034,0.06013609595115277
1965-12-01,0.31496062992126816,0.9508716323296307,1.9200000000000106,3331.9145064154277,3031.0,4.036328286258373,4.437050732312503,1.0992789529579108,0.09465446756104257
1966-01-01,0.09419152276295417,0.8222643896268034,1.9181585677749302,3457.1864994961,2988.0,3.9741441225760115,4.598178516606948,1.157023594208869,0.14585084057826414
1966-02-01,0.6273525721455453,1.35860979462874,2.5575447570332477,3436.6052391055496,2820.0,3.7623075486298263,4.584952422960149,1.218654340108351,0.19774725008189797
1966-03-01,0.31172069825435855,1.354330708661422,2.7786649632705274,3636.468122085842,2887.0,3.8454878454878454,4.843780382398724,1.2596010121530454,0.2307950137955732
1966-04-01,0.3107520198881275,1.3500784929356247,2.8680688336520044,3495.996272600572,2828.0,3.7537497677135043,4.640415557355613,1.2362080171854921,0.21204864356862707
1966-05-01,0.21685254027261625,1.4742785445420292,2.763659466327839,3528.951172896322,2950.0,3.9100295571725847,4.677390980285925,1.196254634880109,0.17919553828544998
1966-06-01,0.09273570324574987,0.9351620947630979,2.4359379943056148,3566.2767530409856,2872.0,3.7965814903433053,4.714366403216235,1.241739816518449,0.21651347406043886
