date,job_finding_rate,job_finding_rate_3ma
1990-02-01,0.32356036686212597,31.061316312187838
1990-03-01,0.2976659593816308,29.539872195962996
1990-04-01,0.26496983963513315,28.30164420533483
1990-05-01,0.28641352714328094,28.217584153109502
1990-06-01,0.295144157814871,28.139951340076703
1990-07-01,0.2626408552441491,27.589309376127975
1990-08-01,0.26989426822481916,25.73162680835757
1990-09-01,0.23941368078175895,26.044277569111436
1990-10-01,0.272020378066765,25.527108161170958
1990-11-01,0.25437918598660486,25.82830424665939
1990-12-01,0.24844956334641186,25.14523778708309
1991-01-01,0.251528384279476,24.905496015841756
1991-02-01,0.2471869328493648,24.741710198261615
1991-03-01,0.24353598881900768,25.604181917128393
1991-04-01,0.2774025358454793,24.915746914945657
1991-05-01,0.22653388278388278,25.23092249856732
1991-06-01,0.2529912563276576,23.970039771766775
1991-07-01,0.23957605404146284,24.681084359022996
1991-08-01,0.24786522040156936,24.83552241722895
1991-09-01,0.2576243980738363,24.80411372449497
1991-10-01,0.23863379325944356,24.465651128270526
1991-11-01,0.23771134251483597,22.894189167398068
1991-12-01,0.21048053924766252,23.64740291716497
1992-01-01,0.2612302057524507,22.930517534839115
1992-02-01,0.2162047810450603,23.373978065907167
1992-03-01,0.22378435517970402,22.388025199349112
1992-04-01,0.23165161975570897,22.573782634683447
1992-05-01,0.2217775041050903,22.47486189761761
1992-06-01,0.2208167330677291,22.539943269550832
1992-07-01,0.23360406091370559,22.599422058840982
1992-08-01,0.22356186778379483,22.876120194220942
1992-09-01,0.2291176771291279,23.119395485179993
1992-10-01,0.24090231964247713,23.51539037853425
1992-11-01,0.23544171458442237,23.715321876134347
1992-12-01,0.2351156220571309,23.477916583315405
1993-01-01,0.23378016085790884,23.25990044832411
1993-02-01,0.22890123053468364,23.450539901543426
1993-03-01,0.24083480565371024,23.48443208809465
1993-04-01,0.23479692645444566,23.93177657688461
1993-05-01,0.24232156519838233,23.647983636170903
1993-06-01,0.23232101743229908,24.193946483359408
1993-07-01,0.2511758118701008,24.138927746117886
1993-08-01,0.2406710030811366,24.133398919306416
1993-09-01,0.23215515262795502,23.81801471411258
1993-10-01,0.24171428571428571,24.236294163425505
1993-11-01,0.25321938656052445,25.19583476809235
1993-12-01,0.26094137076796037,25.524168929103226
1994-01-01,0.2515643105446118,25.658613005187803
1994-02-01,0.25725270884306184,25.594963220045642
1994-03-01,0.2590318772136954,26.00794977169145
1994-04-01,0.2639539070939863,26.904327154328495
1994-05-01,0.2841440303221731,26.84400298514737
1994-06-01,0.25722215213826166,27.026997591369305
1994-07-01,0.26944374528064435,26.85003808657583
1994-08-01,0.27883524517836883,27.61136846914063
1994-09-01,0.2800620636152056,27.421839014293152
1994-10-01,0.26375786163522014,27.66857377953396
1994-11-01,0.28623728813559324,28.637459349206917
1994-12-01,0.3091286307053942,29.16530463933235
1995-01-01,0.27959322033898304,29.294299631074345
1995-02-01,0.2901071378878531,28.51515290738878
1995-03-01,0.28575422899482733,27.954916720375373
1995-04-01,0.26278613472858076,27.414333344391757
1995-05-01,0.27388963660834453,27.20205984345112
1995-06-01,0.27938602396660833,27.56523580509132
1995-07-01,0.27368141357778664,28.154091851871783
1995-08-01,0.29155531801175844,28.032630288074433
1995-09-01,0.2757421770526879,28.726146487592175
1995-10-01,0.2944868995633188,27.845951714473767
1995-11-01,0.2651494748182063,27.18209532100257
1995-12-01,0.2558264852485518,26.42117615298396
1996-01-01,0.27165932452276065,26.899602200909833
1996-02-01,0.2795022562559825,27.582219404841226
1996-03-01,0.27630500136649355,27.351363521108834
1996-04-01,0.26473364801078897,26.988773156978613
1996-05-01,0.26862454533207597,27.358122535906165
1996-06-01,0.28738548273431996,27.651835790846157
1996-07-01,0.2735450456589887,28.98054778844692
1996-08-01,0.30848590526009884,28.838869018791197
1996-09-01,0.2831351196446482,29.36371035938594
1996-10-01,0.2892902858768312,28.04989052125219
1996-11-01,0.26907131011608626,27.50492511483354
1996-12-01,0.2667861574520888,28.046324638413882
1997-01-01,0.3055322715842414,28.811628100140886
1997-02-01,0.29203041396789636,29.70923237554745
1997-03-01,0.2937142857142857,29.108217279769327
1997-04-01,0.2875018187108977,29.64684785850035
1997-05-01,0.3081893313298272,29.612708384207913
1997-06-01,0.29269010148551255,30.532695343782045
1997-07-01,0.3151014274981217,29.395109077501285
1997-08-01,0.2740617433414044,28.83348389977908
1997-09-01,0.27584134615384615,28.41687087905354
1997-10-01,0.30260303687635576,29.32164007691035
1997-11-01,0.30120481927710846,30.405907331942732
1997-12-01,0.3083693638048178,30.2437625516421
1998-01-01,0.29773869346733667,30.53238930731687
1998-02-01,0.30986362194735173,29.99077166818815
1998-03-01,0.29212083463095606,31.624247638061647
1998-04-01,0.3467429725635415,30.991728361750333
1998-05-01,0.29088804365801224,31.406760424813758
1998-06-01,0.304571796522859,29.87688736055852
1998-07-01,0.3008467806358843,30.651569230532854
1998-08-01,0.3141284997572423,30.7743082882365
1998-09-01,0.3082539682539683,30.92654935833547
1998-10-01,0.3054140127388535,31.062156743476578
1998-11-01,0.3181967213114754,31.187112885674097
1998-12-01,0.3120026525198939,31.40378992646287
1999-01-01,0.3119143239625167,31.013781941220813
1999-02-01,0.30649648175421373,32.36653230422418
1999-03-01,0.3525851634099948,31.174362633610414
1999-04-01,0.27614923384410395,31.695103326919465
1999-05-01,0.3221187025534852,30.175838735798205
1999-06-01,0.3070072256763569,31.194930664369565
1999-07-01,0.3067219917012448,31.55733225448463
1999-08-01,0.3329907502569373,31.867573224472512
