date,WFH_1st_Quartile,No_WFH_1st_Quartile,WFH_4th_Quartile,No_WFH_4th_Quartile,WFH_Pooled,No_WFH_Pooled
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.5736146170305156,0.4268961469024557,-0.0780107792624607,-0.057574991165565415,0.14217602859962764,0.2650758077385129
2020-03-01,0.685459015152956,0.5215554516275311,-0.030582577817717116,0.001445275234357446,0.21889272486366185,0.33784667579344063
2020-04-01,0.9068080020444125,0.7221051614709761,0.11822572719588642,0.15177982352341246,0.40100203273902846,0.5107218701533967
2020-05-01,1.1370893116330771,0.9402557381100296,0.28075902193487323,0.3211161060073353,0.6032205057290962,0.700962973460717
2020-06-01,1.2938064701972118,1.1009093851817031,0.4286443907406623,0.44220017186129557,0.7691218878854933,0.8425561537678261
2020-07-01,1.4246382520456846,1.2240520783806552,0.5697715804812598,0.5262812016181062,0.9086819084516584,0.9526156567806865
2020-08-01,1.5200369519454693,1.3226305688435636,0.6813020374818901,0.588964775870493,1.0210551720784,1.037297619256372
2020-09-01,1.5876048829560618,1.3994715924621426,0.7892507675577143,0.6592165014872142,1.1239002537013487,1.115822304158809
2020-10-01,1.6510921150710178,1.5009617227824235,0.908250934942223,0.77108834852746,1.2385516152308318,1.2129347464809426
2020-11-01,1.706551534555345,1.598387348646746,1.029702370096297,0.8941560279568606,1.350936858815599,1.316256511314684
2020-12-01,1.7472993255124525,1.6871300197140338,1.129553085636914,0.9947667509418556,1.4439065378686333,1.4073867014074315
2021-01-01,1.7366318120422664,1.767398585265223,1.2105916392569416,1.0897522287110606,1.5163623256699177,1.4962690910203413
2021-02-01,1.7203951098745618,1.8322804060673992,1.2740099327934074,1.1628278039734097,1.5571248993841103,1.5639608593817522
2021-03-01,1.6146853078115475,1.810757050063172,1.2251652711782635,1.138648699498157,1.5088123520971441,1.5493279849304153
2021-04-01,1.3435184368971287,1.656099181671844,1.0276559113945538,0.9961373135641605,1.314542086117676,1.3953119827842642
2021-05-01,1.0117767898818908,1.4280517427993633,0.7522704315572781,0.7629496345964215,1.0409483742021886,1.1632470042738596
2021-06-01,0.6686679418874686,1.1739915345235996,0.42067119033322165,0.516174733506114,0.7234632448474443,0.8984882295096419
2021-07-01,0.3466228061144383,0.9578368039518725,0.0686361181480466,0.2742738189627447,0.4219928850777377,0.6415988142648654
2021-08-01,0.023467423758427586,0.7734612965944576,-0.2662565100759684,0.034049188832141475,0.13353069595529732,0.39779456504804855
2021-09-01,-0.3076562682220674,0.5908391245444067,-0.626871257424022,-0.23092471965622252,-0.16472838997620975,0.1489768393963864
2021-10-01,-0.6647153859960842,0.3314345259626261,-1.050093609717817,-0.5781943656888444,-0.5240903061326518,-0.17606253280633144
