date,price_index,predicted_price_index,med_real_wage_index,predicted_med_real_wage_index,real_wage_index_1,predicted_real_wage_index_1,real_wage_index_2,predicted_real_wage_index_2,real_wage_index_3,predicted_real_wage_index_3,real_wage_index_4,predicted_real_wage_index_4
2016-01-01,1.0010312520855786,0.9953858847285835,1.0015504823096393,1.0056630933487325,1.001800224762214,1.0039702448039374,1.0016337297938307,1.0081307806124995,1.0014672348254476,1.0054407773471936,1.0015504823096393,1.0066725123233091
2016-02-01,1.0017380448653979,0.9971731982800104,1.0035127387259848,1.0067977819659302,1.0040132438256661,1.0057037107855382,1.0035961493102026,1.0090819612374864,1.00334593142234,1.006440988048124,1.0034293350741625,1.0075751009222536
2016-03-01,1.0024823496698403,0.9989605118314373,1.0053581520417265,1.0079324705831278,1.0061940001478358,1.0074371767671393,1.0055252869322635,1.0100331418624735,1.0051074879050779,1.0074411987490546,1.0052745950144626,1.008477689521198
2016-04-01,1.003461963517755,1.000747825382864,1.0069713268447296,1.0090671592003253,1.0082273543500113,1.0091706427487401,1.0072224418876734,1.0109843224874604,1.0066365833091437,1.008441409449985,1.0068039446427939,1.0093802781201424
2016-05-01,1.0043638052746644,1.0025351389342911,1.0087499894498237,1.010201847817523,1.010344009552269,1.0109041087303412,1.0091692677217405,1.0119355031124475,1.0082470325235968,1.0094416201509155,1.0084146616072303,1.0102828667190868
2016-06-01,1.0052671355505556,1.004322452485718,1.0105311122363323,1.0113365364347207,1.0125485452394682,1.012637574711942,1.0111191745551424,1.0128866837374344,1.009943322167181,1.010441830851846,1.0100272742305367,1.0111854553180313
2016-07-01,1.0059945831592945,1.006109766037145,1.0124931852296766,1.0124712250519183,1.0148518074516693,1.0143710406935431,1.0132507873488388,1.0138378643624215,1.0117360517224658,1.0114420415527763,1.011904260883275,1.0120880439169757
2016-08-01,1.006879284857832,1.0078970795885718,1.014385460602153,1.013605913669116,1.0171709742910502,1.016104506675144,1.0152288419979527,1.0147890449874084,1.013458437554281,1.0124422522537069,1.0137111843374216,1.0129906325159201
2016-09-01,1.008178700014208,1.0096843931399988,1.015948433510591,1.0147406022863135,1.0191615141275516,1.0178379726567448,1.0168776077565977,1.0157402256123955,1.01485129006224,1.0134424629546372,1.0150200171561858,1.0138932211148644
2016-10-01,1.0095951280481987,1.0114717066914256,1.0174821176875672,1.0158752909035111,1.0212089146300496,1.0195714386383459,1.018497315536272,1.0166914062373824,1.01621441340107,1.0144426736555676,1.0162144344620756,1.0147958097138088
2016-11-01,1.0110122071042975,1.0132590202428526,1.019019466700521,1.0170099795207088,1.0232617833614417,1.0213049046199467,1.0201209542589427,1.0176425868623695,1.0175807153218754,1.0154428843564982,1.0174116047339083,1.0156983983127532
2016-12-01,1.0127400260491766,1.0150463337942794,1.020248003898508,1.0181446681379065,1.0250913194680689,1.0230383706015478,1.0213508194182523,1.0185937674873564,1.0186382105112264,1.0164430950574286,1.0182996448767156,1.0166009869116976
2017-01-01,1.014858672569933,1.0168336473457065,1.021087617607188,1.0192793567551042,1.026531640584292,1.0247718365831486,1.0221913406896277,1.0195449481123435,1.0192223715210385,1.0174433057583592,1.018883611728444,1.017503575510642
2017-02-01,1.0172354391743956,1.0186209608971333,1.0216730641333034,1.0204140453723018,1.027632275049375,1.0265053025647495,1.022777420041794,1.0204961287373304,1.0195525383568445,1.0184435164592895,1.0192136688264226,1.0184061641095865
2017-03-01,1.0193048319459015,1.02040827444856,1.022572693394756,1.0215487339894993,1.0291353868177069,1.0282387685463505,1.0235929633237173,1.0214473093623175,1.0201959297389365,1.01944372716022,1.0199416084024102,1.019308752708531
2017-04-01,1.021153361196166,1.022195587999987,1.023698699468863,1.022683422606697,1.0308678616407807,1.0299722345279514,1.024634947866724,1.0223984899873044,1.0211495937837776,1.0204439378611505,1.0208950347114327,1.0202113413074754
2017-05-01,1.0227330370830598,1.023982901551414,1.0250987081904754,1.0238181112238947,1.032792312707737,1.0317057005095525,1.025865728277771,1.0233496706122915,1.0223761876252178,1.0214441485620809,1.02212132277927,1.0211139299064198
2017-06-01,1.024131254460855,1.025770215102841,1.0265996509571182,1.0249527998410923,1.0347342630121281,1.0334391664911533,1.027282422014927,1.0243008512372784,1.023702980700809,1.0224443592630112,1.0236179060778334,1.0220165185053642
2017-07-01,1.025603534756778,1.0275575286542677,1.028115891371134,1.02608748845829,1.0366930382383024,1.0351726324727544,1.028543218917448,1.0252520318622655,1.0250445706281184,1.0234445699639418,1.025044563552275,1.0229191071043087
2017-08-01,1.027251441660615,1.0293448422056948,1.0294604586354,1.0272221770754875,1.038566337665337,1.0369060984543552,1.029631621729618,1.0262032124872524,1.0262998378768475,1.0244447806648722,1.0262145474425972,1.023821695703253
2017-09-01,1.0291180989743933,1.0311321557571216,1.0305046943463452,1.0283568656926851,1.0401381512181138,1.038639564435956,1.0302477960465266,1.0271543931122395,1.027340867604467,1.0254449913658028,1.0271701278925989,1.0247242843021975
2017-10-01,1.0308510976222196,1.0329194693085486,1.031601401813417,1.0294915543098828,1.04176430579468,1.0403730304175571,1.0310013915074898,1.0281055737372264,1.0284342079908926,1.0264452020667332,1.0281778329606839,1.025626872901142
2017-11-01,1.032717362359375,1.0347067828599754,1.032568930945952,1.0306262429270805,1.0431746506564137,1.042106496399158,1.0317110733391293,1.0290567543622136,1.0293132186688712,1.0274454127676635,1.0290566245129398,1.0265294615000862
2017-12-01,1.034550376054962,1.0364940964114024,1.0335739613966302,1.0317609315442782,1.0445371127591225,1.043839962380759,1.032457798038574,1.0300079349872004,1.0301438319893397,1.0284456234685941,1.0300582363299446,1.0274320500990306
