date,E1,E2,E3,E4,inf_period,pre_period
2016-03-31,5.393976067322364,4.625652737299336,4.392184646345082,3.8201083877357274,0,1
2016-06-30,5.948481060649329,5.0685584630416,4.72208633826088,3.8634871088400287,0,1
2016-09-30,6.513462789592054,5.60975335295848,5.287421789601887,4.611659309320485,0,1
2016-12-31,5.550139297220434,4.785101568177509,4.497319642098835,3.684472360096771,0,1
2017-03-31,5.68183188905274,4.8837392526296215,4.606621927358926,3.9633294189382484,0,1
2017-06-30,6.142876983584204,5.258413989745782,4.876667175152373,3.975073215155145,0,1
2017-09-30,6.4006621809414055,5.544950122713544,5.2115877306431475,4.521124147211124,0,1
2017-12-31,5.726003083053618,4.968127365069719,4.651977025043138,3.790574696980532,0,1
2018-03-31,5.7320885080177035,4.968510563146843,4.686242077818279,4.005586364421388,0,1
2018-06-30,6.25532328532094,5.411161641585836,5.031794242899308,4.123315291154916,0,1
2018-09-30,6.567521056810886,5.732506100919019,5.409653446186817,4.7003292000435195,0,1
2018-12-31,5.848297052319482,5.129497927442881,4.8355942403860634,3.9988415736581593,0,1
2019-03-31,5.610174899994708,4.911510278848535,4.666908762740758,4.045230292748068,0,1
2019-06-30,6.165431380484745,5.3957590610615105,5.055677065136591,4.209257553971877,0,1
2019-09-30,6.4213229256526105,5.671788821893463,5.3945613563239645,4.742704546465568,0,1
2019-12-31,5.732799038589543,5.090207472126583,4.830875317711391,4.032184943428909,0,0
2020-03-31,5.1447038963640646,4.577764431729385,4.390796736220115,3.8594896019652807,0,0
2020-06-30,4.007166599067772,3.506330061138056,3.30852413482015,2.862860596684668,0,0
2020-09-30,5.500122849765984,4.911895276047157,4.6645811302144935,4.047404977726936,0,0
2020-12-31,5.205165398220574,4.668922226597818,4.4384031038323455,3.689869533990562,0,0
2021-03-31,4.785742722696043,4.314450630753205,4.156398945570248,3.7061693460181995,0,0
2021-06-30,6.0505085475651175,5.419922191142905,5.133161241070386,4.363354143135379,1,0
2021-09-30,6.784404550798695,6.159883958337056,5.91380852590055,5.24192332335199,1,0
2021-12-31,6.359280139746579,5.832557474470173,5.612822575889311,4.794331478210753,1,0
2022-03-31,5.972321321212052,5.453811310110076,5.281648727161445,4.710885722575473,1,0
2022-06-30,6.485763782281456,5.917735400562227,5.6760668215770345,4.898350365514194,1,0
2022-09-30,6.955117813054622,6.390024005070464,6.170685242162529,5.489057220575499,1,0
2022-12-31,5.64815270505715,5.1970167659796,4.994507540253245,4.20277599183769,1,0
2023-03-31,5.542745415477623,5.094112128830527,4.911342899085517,4.263113397453998,1,0
2023-06-30,5.6453222409932335,5.187171241529417,4.947977780735462,4.152069150254922,0,0
2023-09-30,5.889194352438515,5.456152756717329,5.25723895402715,4.5863923897144225,0,0
2023-12-31,5.0541041382655445,4.689393014071762,4.498807085775059,3.745952289842927,0,0
2024-03-31,4.979414997877459,4.638233750660487,4.468848441971047,3.8804051325686113,0,0
