date,profit_share,P,P_12m_change,U_rate
1951-01-01,7.840999999999999,25.69666666666667,8.944107613309784,3.5155518597599418
1951-04-01,6.565,25.94666666666667,9.174133952917515,3.1113498158059336
1951-07-01,5.913,25.933333333333334,7.149059307541439,3.202317789343414
1951-10-01,6.343,26.316666666666666,6.577383980078255,3.3924578627930146
1952-01-01,6.131,26.416666666666668,2.8106675885387697,3.0771039332671264
1952-04-01,5.898,26.486666666666668,2.0813732032731957,2.9899730945029144
1952-07-01,5.872,26.666666666666668,2.8288161017171167,3.2286042094521417
1952-10-01,6.237,26.69666666666667,1.4461519250141535,2.806254995958419
1953-01-01,6.343,26.62,0.7697772970905866,2.687239431358934
1953-04-01,6.294,26.72,0.8809270141063438,2.608281834107714
1953-07-01,6.187,26.843333333333334,0.6627039276481191,2.728731162648191
1953-10-01,5.013999999999999,26.89,0.7242165538699163,3.7133159125407147
1954-01-01,5.689,26.953333333333333,1.2523333550645388,5.245236759719262
1954-04-01,5.835,26.91,0.7111350397146202,5.795275214580336
1954-07-01,6.09,26.84,-0.012072280244594205,5.981921285101005
1954-10-01,6.383,26.756666666666664,-0.49543405991986367,5.372530781075098
1955-01-01,6.92,26.793333333333333,-0.5935870516900699,4.722919708968768
1955-04-01,6.895,26.756666666666664,-0.569497527533284,4.392666195722724
1955-07-01,6.937,26.776666666666667,-0.23575802693224604,4.121975104553191
1955-10-01,7.119000000000001,26.856666666666666,0.37373899196740573,4.221539094065567
1956-01-01,6.959,26.86,0.24884917701727774,4.043932001761651
1956-04-01,7.051,27.036666666666665,1.0470475373543842,4.202601976073082
1956-07-01,6.696000000000001,27.316666666666666,2.016949745739042,4.141050088554603
1956-10-01,6.923,27.55,2.581630043998954,4.11284127521939
1957-01-01,6.848999999999999,27.776666666666667,3.4125801196636254,3.959742230723503
1957-04-01,6.543,28.013333333333332,3.612615904470499,4.074601575841059
1957-07-01,6.314,28.263333333333335,3.46544725387307,4.21957553304157
1957-10-01,5.88,28.400000000000002,3.085365069103285,4.935409031119881
1958-01-01,5.183999999999999,28.736666666666668,3.456093669943957,6.286936119305625
1958-04-01,5.212,28.930000000000003,3.273096154524646,7.3719392744314485
1958-07-01,5.571000000000001,28.913333333333338,2.3000960651986757,7.321228071159805
1958-10-01,6.097,28.94333333333333,1.9134357142088776,6.3643300487287675
1959-01-01,6.409,28.993333333333336,0.8945253113952223,5.811082204845488
1959-04-01,6.782000000000001,29.043333333333333,0.39185388233514323,5.116784963770319
1959-07-01,6.178999999999999,29.19333333333333,0.9684436786301598,5.299308784056664
1959-10-01,6.046,29.37,1.4741566187383908,5.605683468625602
1960-01-01,6.379,29.396666666666665,1.3911856880802393,5.172557253470927
1960-04-01,5.972,29.573333333333334,1.8250196101042615,5.23791842116673
1960-07-01,5.686,29.59,1.358864662264514,5.562213450172895
1960-10-01,5.539000000000001,29.78,1.3960067587019436,6.263411876223401
1961-01-01,5.362,29.84,1.5081492791054159,6.7853757722013475
1961-04-01,5.521,29.83,0.8679556967939354,6.985617589581363
1961-07-01,5.6930000000000005,29.94666666666667,1.2053937510250412,6.761264273703325
1961-10-01,5.958,29.99,0.7052055720092895,6.1835933320329355
1962-01-01,5.925,30.106666666666666,0.8936550491510283,5.626890993246454
1962-04-01,5.856999999999999,30.22,1.3074201848525924,5.494932818741833
1962-07-01,5.945,30.30666666666667,1.201974478646924,5.550926838821556
1962-10-01,6.053999999999999,30.38,1.300455996544625,5.518228239704008
1963-01-01,5.905,30.47666666666667,1.2291109511422056,5.791522106023744
1963-04-01,6.138,30.53333333333333,1.036888605160698,5.692947112673181
1963-07-01,6.1530000000000005,30.72,1.3645447889017264,5.5059496746221255
1963-10-01,6.2219999999999995,30.80333333333333,1.3934606100504787,5.58480936116769
1964-01-01,6.63,30.930000000000003,1.4875702296923254,5.470136827053942
1964-04-01,6.542000000000001,30.98,1.463078592733839,5.2326121813977435
1964-07-01,6.577,31.05,1.0742511911006207,5.00185733381034
1964-10-01,6.478000000000001,31.19333333333333,1.2661498690505295,4.965926200824149
1965-01-01,7.063,31.290000000000003,1.1639292254741251,4.884040098961944
1965-04-01,7.199999999999999,31.49,1.6460472814456617,4.667895277648322
1965-07-01,7.1419999999999995,31.583333333333332,1.7176815357512254,4.36435378469642
1965-10-01,7.33,31.75,1.7844331692295305,4.1148399782751
1966-01-01,7.303999999999999,32.04666666666666,2.4181227626929016,3.8606465055645605
1966-04-01,7.277,32.336666666666666,2.689222098095153,3.820120271743131
1966-07-01,7.124999999999999,32.61666666666667,3.2717083426005398,3.7632503387553142
1966-10-01,6.902,32.88333333333333,3.5700073192116655,3.6957376833585305
1967-01-01,6.5329999999999995,32.96666666666667,2.8718317016550365,3.8223647645088152
1967-04-01,6.5089999999999995,33.166666666666664,2.566641744275233,3.8193134975240013
1967-07-01,6.535,33.5,2.708789935620248,3.79719292942189
1967-10-01,6.75,33.86666666666667,2.9901297481070395,3.9285614008625553
1968-01-01,6.468,34.199999999999996,3.741057996377147,3.7407781024464746
1968-04-01,6.478000000000001,34.53333333333333,4.1204346340298015,3.5498425593451244
1968-07-01,6.418,35.0,4.477638539552024,3.5230253071638598
1968-10-01,6.4670000000000005,35.43333333333333,4.626145198238429,3.4047073200128133
1969-01-01,6.241,35.86666666666667,4.872752698538359,3.3895785946463195
1969-04-01,5.9799999999999995,36.43333333333333,5.502002171177208,3.437010870226992
1969-07-01,5.6930000000000005,36.93333333333333,5.523567733691892,3.603111470391864
1969-10-01,5.569,37.5,5.832267391309435,3.5944610278355924
1970-01-01,5.263,38.1,6.2270762723552435,4.171322060017126
1970-04-01,5.171,38.63333333333333,6.03849702210358,4.758860025426328
1970-07-01,5.167999999999999,39.03333333333333,5.6859853360633705,5.180971441014467
1970-10-01,4.901,39.6,5.600106195613264,5.814060571287942
1971-01-01,5.299,39.93333333333333,4.813365533783435,5.92601674774751
1971-04-01,5.398,40.300000000000004,4.313810844177812,5.919268220335436
1971-07-01,5.65,40.699999999999996,4.270262320207234,5.994602123085944
1971-10-01,5.775,41.0,3.5362639308765895,5.965173062189826
1972-01-01,5.915,41.333333333333336,3.5058479532163793,5.794062600826083
1972-04-01,5.83,41.6,3.226680411674924,5.684517281457787
1972-07-01,5.9670000000000005,41.93333333333333,3.0301141609458,5.609965796526592
1972-10-01,6.282,42.36666666666667,3.333148095994735,5.330584072381076
1973-01-01,6.936000000000001,43.03333333333333,4.112142957647391,4.97620726239531
1973-04-01,7.0040000000000004,43.93333333333334,5.608418270017908,4.915549612929435
1973-07-01,7.055,44.800000000000004,6.834538413634971,4.818698085985826
1973-10-01,7.197000000000001,45.93333333333334,8.417588496545,4.794194004531618
1974-01-01,7.555000000000001,47.29999999999999,9.913374128075334,5.110194766903633
1974-04-01,7.5520000000000005,48.56666666666666,10.54484291135216,5.186195863220925
1974-07-01,7.76,49.93333333333334,11.458084360739214,5.6081354250505635
1974-10-01,6.746,51.46666666666667,12.045857796804535,6.580285662633387
1975-01-01,5.86,52.56666666666666,11.13915393131118,8.241117277708822
1975-04-01,6.018,53.199999999999996,9.54334763858573,8.852334253560587
1975-07-01,6.773999999999999,54.26666666666667,8.685280456232194,8.491331788979467
1975-10-01,7.043000000000001,55.26666666666667,7.384931337519947,8.283124214993741
1976-01-01,7.289,55.9,6.342176977005291,7.747040820034783
1976-04-01,7.371999999999999,56.4,6.0150180935084245,7.550168658132237
1976-07-01,7.359,57.300000000000004,5.589872748544337,7.723241302495616
1976-10-01,7.191,58.13333333333333,5.1879144121930105,7.756312441612759
1977-01-01,7.534000000000001,59.199999999999996,5.9026646160929745,7.516025197061552
1977-04-01,7.7219999999999995,60.23333333333333,6.79713344850322,7.12756508691108
1977-07-01,7.795000000000001,61.06666666666666,6.574013476827608,6.887120899446255
1977-10-01,7.681,61.96666666666667,6.593658295885614,6.635434363935935
1978-01-01,7.806,63.03333333333333,6.476536449425585,6.322315347576201
1978-04-01,8.181,64.46666666666667,7.02695789059425,5.995204718134164
1978-07-01,8.253,65.96666666666667,8.023036032309035,6.0169082689846185
1978-10-01,8.474,67.5,8.929434405150246,5.878922557456128
1979-01-01,8.424,69.2,9.78134483198405,5.872947732654811
1979-04-01,8.536000000000001,71.39999999999999,10.75324350529067,5.708993446375658
1979-07-01,8.472,73.7,11.722065417920504,5.863182521522503
1979-10-01,8.169,76.03333333333335,12.639638021870018,5.934778392982605
1980-01-01,8.0,79.03333333333333,14.207579175926782,6.291519270761039
1980-04-01,6.9510000000000005,81.7,14.426977804480442,7.31782525520316
1980-07-01,7.062,83.23333333333333,12.936532371818378,7.675119412761053
1980-10-01,6.968000000000001,85.56666666666666,12.53942126086874,7.392782143205557
1981-01-01,6.784,87.93333333333334,11.266337396333128,7.420800922744109
1981-04-01,6.327000000000001,89.76666666666667,9.874953898447243,7.392944163538687
1981-07-01,6.2909999999999995,92.26666666666667,10.852520378653688,7.411357630322022
1981-10-01,6.146999999999999,93.76666666666667,9.587674308185493,8.234886110024455
1982-01-01,5.542,94.60000000000001,7.585130981360822,8.836918940855815
1982-04-01,5.501,95.96666666666665,6.905340793829332,9.419344186683382
1982-07-01,5.305,97.63333333333333,5.821197876248388,9.936279690739958
1982-10-01,5.067,97.93333333333334,4.445149725547762,10.669751182909367
